X		Y
11		18
10		20
10		20
13		20
10		23
8		17
14		21
13		21
12		20
8		17
12		22
11		20
10		22
10		25
10		19
11		23
8		17
10		19
10		21
12		21
10		17
10		17
11		16
12		19
14		20
11		21
9		17
9		20
14		21
10		17
12		17
10		21
12		19
10		22
12		18
8		20
13		22
5		22
10		20
12		23
14		18
13		16
7		20
8		19
12		18
10		20
14		19
14		21
11		20
12		21
10		20
12		20
11		20
12		19
13		20
10		22
10		19
12		20
12		18
11		20
12		16
10		20
12		17
8		20
11		18
9		20
10		18
13		18
14		22
11		20
14		19
11		20
13		20
11		21
11		18
12		17
13		18
10		21
11		21
8		20
13		22
10		20
10		17
8		24
10		22
10		20
12		20
9		20
12		20
10		18
11		20
14		21
15		21
10		20
9		20
13		18
10		21
14		18
11		20
13		20
13		4
14		7
12		7
17		5
15		4
13		6
14		3
13		5
13		8
14		4
13		6
15		8
13		2
13		4
17		6
11		4
13		3
14		5
14		10
14		4
13		3
10		6
15		6
14		6
12		2
13		4
13		2
13		4
11		4
9		5
14		7
15		4
12		5
11		2
14		7
13		5
9		4
14		7
11		6
14		4
16		1
11		7
12		6
13		6
11		4
13		5
9		2
11		5
16		5
12		6
11		4
12		5
11		7
12		4
12		4
13		5
12		6
13		6
14		6
14		5
10		6
13		8
17		7
13		4
15		8
15		4
11		4
15		6
11		8
13		6
16		8
12		6
15		7
17		6
13		5
15		6
15		5
15		6
15		4
13		4
12		4
12		4
12		3
12		6
14		6
13		6
11		3
12		3
12		5
12		5
11		5
13		4
14		5
18		7
13		6
13		2
15		6
12		5
12		7
14		7
