X		Y
7		16
9		19
10		17
5		19
7		21
2		17
10		18
9		13
4		9
9		14
17		18
5		18
10		15
6		14
9		17
8		18
8		17
9		20
3		23
7		20
4		13
6		15
2		20
4		21
15		21
8		15
3		15
7		15
9		16
3		18
6		14
3		20
9		16
6		16
9		14
3		17
8		17
8		22
2		14
11		12
9		21
7		20
5		15
9		22
1		20
1		23
4		21
12		15
1		15
7		16
4		21
3		18
7		17
5		16
5		15
5		13
10		21
11		17
7		19
4		18
7		21
11		23
10		19
5		21
4		19
5		20
11		17
4		19
4		23
5		14
9		13
5		15
6		15
4		16
6		18
8		12
9		14
12		17
8		14
2		19
3		20
7		15
6		24
10		21
3		19
6		19
9		21
10		19
6		15
14		7
22		7
22		5
23		5
13		4
24		8
17		3
20		4
18		9
24		8
15		10
23		3
17		7
21		1
21		2
16		9
16		8
19		5
24		2
17		3
21		1
16		6
15		7
14		5
10		8
15		3
19		7
16		2
20		7
20		3
20		4
16		2
13		1
18		6
21		5
20		9
14		7
17		9
12		6
24		3
20		9
16		4
23		7
19		3
20		7
11		10
17		3
21		4
20		8
19		9
20		2
18		10
22		8
21		8
22		11
22		9
22		7
16		6
20		4
20		1
23		5
18		2
23		6
22		2
16		1
21		9
23		3
22		3
16		5
22		9
19		9
23		1
23		10
20		1
19		6
21		6
23		7
20		8
13		1
22		10
17		8
20		11
19		2
16		5
19		4
20		7
